id,price_doc
30474,5667882.62331557
30475,8264325.21412793
30476,4960086.86551957
30477,5791236.16084348
30478,4999613.88635088
30479,8305386.91497451
30480,4960323.38657885
30481,4530117.51497348
30482,4746902.20228954
30483,4306936.97281973
30484,7005939.7108619
30485,4963096.25422515
30486,3835962.43494608
30487,4025459.6519401
30488,6050814.30910906
30489,6450432.75982575
30490,17998226.5936741
30491,15843288.7188131
30492,5691802.82826156
30493,14940276.3883611
30494,6974414.57923695
30495,9972378.13074099
30496,8597752.03186796
30497,8412709.9286812
30498,4595321.37455408
30499,7787893.45275681
30500,10913623.6794848
30501,6754067.0522788
30502,3472652.55542977
30503,5626349.75260079
30504,5855859.15125853
30505,11093187.3098546
30506,3314244.45248651
30507,5018573.95601245
30508,5799449.08883841
30509,8098282.36002308
30510,9232058.83549475
30511,6569650.49395768
30512,5898804.94196656
30513,4784780.54516673
30514,3913702.15859134
30515,10180709.9199236
30516,6020169.99100544
30517,10208866.2867261
30518,6643403.09863723
30519,4474155.80432565
30520,7182094.46260995
30521,5454836.76042705
30522,7518512.97331646
30523,6088230.07455464
30524,9027043.97208812
30525,8523809.35365266
30526,4928767.45516303
30527,5360478.86663263
30528,6221408.23262514
30529,6470709.52132087
30530,6242965.20352298
30531,13451385.4827672
30532,5013402.86295727
30533,9029162.00031918
30534,6937511.25842963
30535,9352506.90405915
30536,5490509.51594551
30537,10931769.5600671
30538,4549990.96265034
30539,9590891.06522487
30540,9419730.89079295
30541,4931061.80367351
30542,2301628.61944785
30543,5383979.67243918
30544,8380359.4245966
30545,7963125.22048502
30546,4347971.25530904
30547,9123249.10677174
30548,4709449.47451964
30549,5410565.11853321
30550,11838923.9049152
30551,5240844.75212321
30552,2214814.42067375
30553,6587267.05585575
30554,10755680.361016
30555,6553149.63423263
30556,8424214.72763874
30557,7189337.9074546
30558,8350792.85373726
30559,6164344.97725795
30560,5804999.12177536
30561,6407013.82559888
30562,10667420.3967392
30563,4608566.63329935
30564,6640337.35460284
30565,6606121.46625482
30566,7370125.04090334
30567,2263053.46128856
30568,9462011.33717731
30569,8931103.76583201
30570,6237555.5839516
30571,6920066.65182117
30572,5250920.51810786
30573,6800201.05037677
30574,6168508.55786019
30575,7156066.15130427
30576,4443374.17399874
30577,3589921.89000999
30578,3406105.72748575
30579,6722354.50711926
30580,4780356.36223744
30581,5256923.13390385
30582,11038248.0273852
30583,7047991.10496072
30584,4169504.77398013
30585,3047209.35110587
30586,8338457.86942969
30587,6205580.82708997
30588,7447890.31580152
30589,7996259.23690185
30590,11132930.6670744
30591,4673477.651504
30592,6792792.53043618
30593,8262378.71890651
30594,7749826.27664593
30595,5181219.7987444
30596,6919261.5607815
30597,6820367.37129983
30598,9668879.25713681
30599,12377256.9127676
30600,5252282.78075037
30601,6375696.37988994
30602,2175238.77941741
30603,13493244.8909794
30604,4642232.19509018
30605,6979790.91776638
30606,11642580.4360387
30607,6586450.43239151
30608,8022649.92675091
30609,6479669.76848131
30610,3404852.10806912
30611,5799449.08883841
30612,6883116.11405742
30613,8016325.04745265
30614,20622713.8010864
30615,7265486.63022562
30616,6057465.58633672
30617,8678698.56363067
30618,4722649.85261396
30619,4640081.08484862
30620,2966133.18706846
30621,9039690.63050903
30622,7361555.01351432
30623,5585419.51031853
30624,7290091.18024448
30625,7646240.4366129
30626,6350658.19501924
30627,7047097.20360854
30628,6753622.62539633
30629,5450785.79934206
30630,4514126.29044636
30631,6112880.66943656
30632,4067802.06646834
30633,6122069.3433129
30634,11419483.3051344
30635,9561666.60111048
30636,5791252.72972961
30637,10215839.5963747
30638,5827369.12231038
30639,7353619.0782334
30640,5027416.85244281
30641,8270940.4183685
30642,6758248.67284023
30643,7979401.07517873
30644,9677513.9315401
30645,7809916.21966737
30646,5444172.41002022
30647,5340848.44990364
30648,24157439.7651717
30649,2799091.22568827
30650,4864980.50071258
30651,3311871.60852903
30652,5041066.16607021
30653,6277760.30280965
30654,4658806.07753155
30655,10776543.6410949
30656,4252166.67956989
30657,6428600.8050709
30658,9274629.00414586
30659,5095889.20682388
30660,8219765.69004092
30661,6675367.04378639
30662,9121056.8166685
30663,19045155.5814301
30664,11059954.7454441
30665,6572370.20038236
30666,2975828.89966272
30667,4328266.02809975
30668,7884084.47390724
30669,4755080.47363322
30670,2523569.16318587
30671,7049315.36269691
30672,13502384.3799006
30673,10177914.0881224
30674,10793246.9301906
30675,2280013.37678581
30676,7377276.69630316
30677,4424375.67122871
30678,16460436.5735324
30679,5413470.93235894
30680,5261928.88242176
30681,2511689.04135325
30682,8414346.77711429
30683,9705130.102022
30684,4951466.28292369
30685,7512506.73460756
30686,9374956.79143309
30687,5223106.73455761
30688,4597421.0432951
30689,13602861.2312494
30690,24062478.5922929
30691,4765731.02216003
30692,6044700.66217373
30693,7580640.02620316
30694,5420646.65920763
30695,7056626.78309627
30696,6512044.42147312
30697,10869789.9992888
30698,7353072.08780714
30699,5935558.10614157
30700,5006198.06396816
30701,9677513.9315401
30702,6340709.17512439
30703,3977620.75134291
30704,11632014.9571433
